OBJECTID,COD_SIG,COD_SIG_ESTACIONAMENTO,MORADA,MORADA_DETALHE,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,BALIZADORES,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,EQUIPAMENTO_SERVIDO,FONTE_LEVANTAMENTO,DATA_INSTALACAO,OBS,GlobalID,x,y
14698,2,2,"Avenida Almirante Reis, Igreja","Igreja de Nossa Senhora dos Anjos, antes da entrada",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,3,6,Não,,Público,Partilhado com Micromobilidade,Equipamento Religioso - Igreja,DEPM,1/9/2019 12:00:00 AM,,8932dd69-c9a8-45e3-9e81-91fff0dc0111,-1016908.12471679,4682266.75467231
14699,3,3,"Rua da Palma, 270",,Santa Maria Maior,Via,BICICLETA,Sheffield standard,2,4,Não,,Público,Partilhado com Micromobilidade,,DEPM,1/9/2019 12:00:00 AM,,dbeae199-c822-4c86-bdca-808b375b3cfd,-1016971.13768599,4681506.96574514
14700,4,4,Avenida Infante Dom Henrique,"Cruzamento com Rua Fernando Palha, próximo paragem autocarro",Marvila,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,2/7/2020 12:00:00 AM,,fd1c21b2-bd96-4b06-87e2-9012ab40a3bd,-1013115.13276003,4685152.06241458
14701,5,5,Rua Cintura do Porto de Lisboa,Parque Orlando Ribeiro,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,2/7/2020 12:00:00 AM,,5f5c3b42-aec7-41af-a675-a8a4236e415c,-1012803.95250394,4684936.88613117
14702,6,6,Rua Cintura do Porto de Lisboa,Parque Orlando Ribeiro,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,2/7/2020 12:00:00 AM,,a756b5d7-86f9-4053-b934-4479f7a8ab30,-1012739.99785907,4684978.60129562
14703,7,7,Rua Cintura do Porto de Lisboa,Parque Orlando Ribeiro,Marvila,Passeio,BICICLETA,Sheffield standard,8,16,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,2/7/2020 12:00:00 AM,,a0b9302f-0c8c-4858-ba5d-d66155dfc10f,-1012716.05801919,4685105.26028685
14704,8,8,Rua Francisco Stromp,Junto aos balneários campo desportivo,Lumiar,Passeio,BICICLETA,Sheffield standard,5,10,Não,0,Público,Partilhado com Micromobilidade,Equipamento Desportivo - Campo Desportivo,,,,6dc4d29f-2a35-46c6-a655-1c9fa0d4bed0,-1019410.70691026,4687857.80597074
14721,9,9,Parque da Quinta das Conchas e dos Lilases,Perto do café,Lumiar,Passeio,BICICLETA,Onda,1,5,Não,,Público,Interdito Micromobilidade,Equipamento Lazer - Jardim,,,,b4521700-c706-4240-a32c-1b1e271e80ef,-1019257.61214706,4688891.56450116
14722,10,10,"Alameda das Linhas de Torres, 262",,Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,55c22df3-8334-400b-bab3-1152b307ef2d,-1019843.01357512,4689273.85275057
14723,11,11,"Alameda das Linhas de Torres, 250",,Lumiar,Passeio,BICICLETA,Sheffield standard,10,20,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,c7ecb7b9-e75d-445a-b445-66bdb9a0a531,-1019777.11275503,4689154.47241327
14724,12,12,"Avenida Gomes Pereira, 15",Interior logradouro do edifício Junta,Benfica,Passeio,BICICLETA,Entorta rodas,1,5,Não,,Privado,Interdito Micromobilidade,Equipamento Adm. Pública - Junta Freguesia,,,,ad6f5c77-8ac7-4e05-b67f-743fc1c22a90,-1023866.98711376,4685704.42366052
14725,13,13,Rua Maria Pia,Piscina Municipal Campo de Ourique,Campo de Ourique,Passeio,BICICLETA,Onda,1,5,Não,0,Privado,Interdito Micromobilidade,Equipamento Desportivo - Piscina,DEPM,,,b4eb55e2-977d-44e0-86a4-d603c93fc395,-1020870.68105381,4681382.40751852
14726,14,14,Rua Tomás Ribeiro,"Cruzamento com Avenida Fontes Pereira de Melo, saída do metro C. C. Imaviz",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,Estação Metro,DEPM,12/3/2018 12:00:00 AM,,3bb7668c-4045-4fad-9ed4-27efa326b274,-1018241.32298806,4683211.26734341
14727,15,15,Rua da Venezuela,Perto estação ferroviária Benfica,Benfica,Passeio,BICICLETA,Sheffield estreito,5,10,Não,0,Público,Partilhado com Micromobilidade,Estação Ferroviária,DEPM,,,e8590b39-fe57-40b8-a98f-32f2ce4eace4,-1024092.17662357,4685159.50139675
14728,16,16,"Rua Engº Paulo de Barros, 30
",,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/23/2018 12:00:00 AM,,b2642465-202b-4091-a76a-9654caf77b5e,-1024915.21658104,4685599.11178406
14729,17,17,"Rua Tomás de Figueiredo, 2",Em frente ao restaurante ""Os Cunhados"",Benfica,Lugar estacionamento automóvel,BICICLETA,Sheffield estreito,6,12,Não,,Público,Partilhado com Micromobilidade,,,,,aec58046-de5f-4ae3-bf86-a2a3e1bc2bec,-1024938.48182512,4685633.02523543
14730,18,18,"Estrada de Benfica, 701","Lateral do Palácio Baldaya, junto escadas",Benfica,Passeio,BICICLETA,Entorta rodas,2,6,Não,,Público,Partilhado com Micromobilidade,,,,,09874518-5d11-4299-87b1-902d9e17015b,-1024226.17320535,4685967.97730107
14731,19,19,"Estrada de Benfica, 422",,São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,,,,3f8837f0-e177-47e3-b8fc-a8546f95acab,-1022905.27829148,4685554.52085291
14732,20,20,"Estrada de Benfica, 463",Atrás do edifício do Califa,São Domingos de Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,,,,b9288554-5bc7-47cd-bfa0-84e1f3bd221a,-1022903.35802035,4685475.96287614
14733,21,21,Rua Paulo Renato,Entrada do C.C.Fonte Nova,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,,,,c7d9c927-7ad9-4c76-b1e3-ce16415602c9,-1023076.46773932,4685705.35978017
14734,23,23,Rua Paulo Renato,"Estacionamento Fonte Nova, debaixo do viaduto da 2ª circular",Benfica,Via,BICICLETA,Sheffield standard,5,10,Não,,Público,Partilhado com Micromobilidade,,,,,69dd3ce4-f080-4dae-80b7-837a98fbe4e1,-1023012.34243084,4685631.09439253
14735,24,24,Alameda Manuel Ricardo Espírito Santo,"Estacionamento Fonte Nova, debaixo do viaduto da 2ª circular",São Domingos de Benfica,Via,BICICLETA,Sheffield standard,5,10,Não,,Público,Partilhado com Micromobilidade,,,,,4cae9cca-22a5-4b84-bea8-9cbf563df3ac,-1022949.64390913,4685614.47266432
14736,25,25,"Rua do Seminário, Escola","Escola Secundária de Vergílio Ferreira, no exterior, junto à ciclovia",Carnide,Passeio,BICICLETA,Sheffield estreito,4,8,Não,,Público,Partilhado com Micromobilidade,Equipamento Ensino - Escola 2 e 3 ciclo,,,,3e93848d-cbc2-449f-964e-9425a7804f1f,-1022013.37322089,4687376.36358479
14737,26,26,"Rua João de Oliveira Miguens, 60",Junto via pedonal,Estrela,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,,,,7256b7e2-fd8b-4fcd-853d-06fa3193ad16,-1021236.0728599,4679607.78232198
14738,27,27,"Rua João de Oliveira Miguens, 38",Junto via pedonal,Estrela,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,,,,82db8cb1-5f08-4d68-98f0-6dd41540f185,-1021252.62232191,4679544.35730596
14739,28,28,Jardim Aministia Internacional,,Campolide,Passeio,BICICLETA,Sheffield standard,6,12,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,8/3/2018 12:00:00 AM,,cf4c2dc0-3a43-419e-a9c1-82529f9c1dbf,-1020144.77360687,4683945.68349068
14740,29,29,Calçada dos Mestres,,Campolide,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,6/17/2018 12:00:00 AM,,b7ba06ab-9c99-495f-9ee3-bdd890541d41,-1020290.58258198,4682600.13031187
14741,30,30,Rua Freitas Gazul,"Escola Básica Integrada Manuel da Maia, junto ao muro do lado direito",Campo de Ourique,Passeio,BICICLETA,Sheffield estreito,3,6,Não,0,Privado,Interdito Micromobilidade,Equipamento Ensino - Escola 2 e 3 ciclo,DEPM,11/16/2018 12:00:00 AM,,95f2e759-1b31-4f65-8404-7c844ef38326,-1020802.14640392,4681277.08995646
14742,32,32,"Avenida Álvares Cabral, 27",,Campo de Ourique,Via,BICICLETA,Sheffield standard,2,4,Não,0,Público,Partilhado com Micromobilidade,,DEPM,8/3/2018 12:00:00 AM,,8d19fbff-ce7d-4475-ad24-0a01dc0c3803,-1019282.21545886,4681505.5185397
14743,33,33,"Avenida Álvares Cabral, 102",Depois do Mupi,Campo de Ourique,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/16/2018 12:00:00 AM,,6d1f16c8-2537-487b-a413-e3288fd3d29f,-1019440.68353197,4681230.3475593
14744,34,34,"Rua Carlos Alberto da Mota Pinto
",Amoreiras Plaza,Campo de Ourique,Passeio,BICICLETA,Sheffield standard,6,12,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/28/2018 12:00:00 AM,,b290866c-370b-4aaa-8d93-0591dca4a27b,-1019794.46838304,4682057.85441088
14745,35,35,"Rua Latino Coelho, 46B
",No separador Central em frente ao Miosótis,Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,9,18,Não,1,Público,Partilhado com Micromobilidade,,DEPM,12/12/2018 12:00:00 AM,,c7e68473-45e2-44b7-a636-570e7f1b0d44,-1018676.7087089,4683557.33009146
14746,36,36,"Rua Latino Coelho, 75",Em frente ao Café,Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,Não,3,Público,Partilhado com Micromobilidade,,DEPM,12/21/2018 12:00:00 AM,,95308c60-6959-41f0-9011-ff79d5fff474,-1018622.17270037,4683520.96776281
14747,37,37,"Rua Mário Cesariny, 5",Atrás da vedação de proteção no topo da entrada para o estacionamento automóvel subterrâneo,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,8/26/2018 12:00:00 AM,,ebbba6b5-e60b-476d-8a35-b3976fe5e1e7,-1018918.11635856,4685428.56599888
14748,38,38,"Rua Castilho, 237
",Junto parque calisténico,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/20/2018 12:00:00 AM,,94fd4ebf-87ce-41bd-805f-64ca39ecf2f3,-1019408.16420478,4683037.25155763
14749,39,39,"Rua Rodrigo da Fonseca, 115",Escola Secundária Maria Amália Vaz de Carvalho,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/20/2018 12:00:00 AM,,7b5b8785-1252-4e05-87d4-22a7ec91d547,-1019327.19410036,4682608.43928855
14750,40,40,"Rua Tomás Ribeiro, 97B",Próximo do Pingo Doce,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,1/8/2019 12:00:00 AM,,faa1d2f2-f6ab-4a77-9864-72230211989b,-1018519.55311609,4683320.56771692
14751,41,41,"Avenida Marquês de Tomar
",Jardim (Quiosque),Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,11/20/2018 12:00:00 AM,,1433ee25-7e1f-44d4-b252-c426c71c62d5,-1018447.8508278,4683819.97147122
14752,42,42,Avenida António Augusto de Aguiar,Frente à saida do metro do Parque,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Estação Metro,DEPM,11/20/2018 12:00:00 AM,,a3630d07-b25b-48be-9b2c-7278e0d6c670,-1018583.55017704,4683043.52314692
14753,43,43,Avenida João Crisóstomo,Jardim do Arco do Cego,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Privado,Interdito Micromobilidade,Equipamento Lazer - Jardim,DEPM,1/8/2019 12:00:00 AM,,6cceabb2-f95d-4ed6-b5b6-c6f4560be101,-1017690.44839431,4683968.45458453
14754,44,44,"Avenida 5 de Outubro, 77
",No separador central,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/20/2018 12:00:00 AM,,f14895d4-7abb-478c-95db-64b3e0eec60f,-1018314.76363724,4684031.58349999
14755,45,45,Rua Cidade de Lobito,Entrada Quinta Pedagógica dos Olivais,Olivais,Passeio,BICICLETA,Sheffield estreito,5,10,Não,,Público,Partilhado com Micromobilidade,Equipamento Lazer - Quinta Pedagógica,,,,de48b52e-c9f3-4223-a6e6-c0430ca442b2,-1014445.93517019,4687807.81240831
14756,46,46,"Avenida 24 de Julho, 49","Mercado da Ribeira, entre caldeira e candeeiro",Misericórdia,Passeio,BICICLETA,Sheffield standard,6,12,Não,0,Público,Partilhado com Micromobilidade,Equipamento Comercial - Mercado,DEPM,7/4/2019 12:00:00 AM,,244e6802-5ce0-4309-a2d9-f682af77fa47,-1018073.14601869,4679728.09197669
14757,47,47,Estrada do Barçal,Centro de Interpretação Ambiental CML,Benfica,Passeio,BICICLETA,Onda,1,5,Sim,,Público,Partilhado com Micromobilidade,Equipamento Investigação - C. I. Ambiental,,,,7e0222bf-676b-4fd0-9a37-abbdc83db63a,-1022667.56019066,4684476.00016713
14758,48,48,Avenida Professor Egas Moniz,Pavilhão 3 do Estádio Universitário de Lisboa,Alvalade,Passeio,BICICLETA,,7,14,Não,0,Público,Partilhado com Micromobilidade,Equipamento Desportivo - Pavilhão,Cidade Ciclável,,,b284ca8b-aba2-4b00-b45f-f90686bcfd8d,-1019768.83199183,4686482.42447225
14759,49,49,"Campo Grande, 9 ",,Alvalade,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,bb3c415b-c033-4af1-8476-a329cd455fbf,-1018529.23748666,4685783.30312513
14760,50,50,Praça do Marquês de Pombal,Perto acesso peões parque subterrâneo,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,5,10,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Parque,,,,1753386a-0dba-41ca-9ced-73a492d3de2a,-1018677.49979125,4682500.47814433
14761,51,51,Praça do Marquês de Pombal,"Parque Eduardo VII, ao lado estacionamento bicicletas existente",Avenidas Novas,Passeio,HOTSPOT,Sheffield standard,4,13,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Parque,DEPM,3/16/2019 12:00:00 AM,,a569887b-c7db-4168-b87d-a16ee7a7d390,-1018626.03704698,4682532.68003244
14762,52,52,"Rua Andrade Corvo, 27",,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,,,,a2bc0824-7b4b-4c1d-9045-e9732c6c4c94,-1018282.54641108,4683079.28862982
